Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
Appia Rare Earths & Uranium Corp (formerly was API/Appia Energy Corp. until 2021-10-14),API,Mining,,CSE Composite,CAD,2015-09-14 04:00:00,https://thecse.com/en/listings/mining/appia-rare-earths-&-uranium-corp-(formerly-was-api/appia-energy-corp-until-2021-10-14)
Aquarius AI Inc.,AQUA,Technology,,CSE Composite,CAD,2021-07-15 04:00:00,https://thecse.com/en/listings/technology/aquarius-ai-inc
Aquarius Surgical Technologies Inc.,ASTI,Technology,,,CAD,2017-06-21 04:00:00,https://thecse.com/en/listings/technology/aquarius-surgical-technologies-inc
Archer Exploration Corp,RCHR,Mining,,CSE Composite,CAD,2021-02-11 05:00:00,https://thecse.com/en/listings/mining/archer-exploration-corp
Arctic Fox Ventures Inc,AFX,Mining,,,CAD,2021-06-04 04:00:00,https://thecse.com/en/listings/mining/arctic-fox-ventures-inc
Arctic Glacier Income Fund,AG.UN,Diversified Industries,,,CAD,2015-09-03 04:00:00,https://thecse.com/en/listings/diversified-industries/arctic-glacier-income-fund
Ares Strategic Mining Inc.,ARS,Mining,,CSE Composite,CAD,2021-10-22 04:00:00,https://thecse.com/en/listings/mining/ares-strategic-mining-inc
AREV Life Sciences Global Corp (formerly was AREV/AREV NanoTec Brands Inc. until 2021-08-10),AREV,Diversified Industries,,CSE Composite,CAD,2016-08-05 04:00:00,https://thecse.com/en/listings/diversified-industries/arev-life-sciences-global-corp-(formerly-was-arev/arev-nanotec-brands-inc-until-2021-08-10)
Argo Gold Inc.,ARQ,Mining,,CSE Composite,CAD,2016-09-22 04:00:00,https://thecse.com/en/listings/mining/argo-gold-inc
Argo Living Soils Corp,ARGO,Diversified Industries,,,CAD,2021-08-03 04:00:00,https://thecse.com/en/listings/diversified-industries/argo-living-soils-corp
Armada Mercantile Ltd.,ARM,Diversified Industries,,CSE Composite,CAD,2015-09-24 04:00:00,https://thecse.com/en/listings/diversified-industries/armada-mercantile-ltd
Armadillo Resources Ltd.,ARO,Mining,,,CAD,2016-08-05 04:00:00,https://thecse.com/en/listings/mining/armadillo-resources-ltd
Asante Gold Corporation,ASE,Mining,,CSE25,CAD,2015-09-04 04:00:00,https://thecse.com/en/listings/mining/asante-gold-corporation
"Ascend Wellness Holdings, Inc.",AAWH.U,Life Sciences,,,USD,2021-05-04 04:00:00,"https://thecse.com/en/listings/life-sciences/ascend-wellness-holdings,-inc"
ASEP Medical Holdings Inc.,ASEP,Life Sciences,,CSE Composite,CAD,2021-11-22 05:00:00,https://thecse.com/en/listings/life-sciences/asep-medical-holdings-inc
Asia Green Biotechnology Corp.,ASIA,Life Sciences,Cannabis,,CAD,2019-01-24 05:00:00,https://thecse.com/en/listings/life-sciences/asia-green-biotechnology-corp
