Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls
American Future Fuel Corporation,AMPS,Mining,,CSE Composite,CAD,2022-05-26 04:00:00,https://thecse.com/en/listings/mining/american-future-fuel-corporation
American Pacific Mining Corp.,USGD,Mining,,CSE Composite,CAD,2018-03-08 05:00:00,https://thecse.com/en/listings/mining/american-pacific-mining-corp
American Potash Corp. (formerly was NTM/New Tech Minerals Corp. until 2022-08-30),KCL,Mining,,CSE Composite,CAD,2015-09-01 04:00:00,https://thecse.com/en/listings/mining/american-potash-corp-(formerly-was-ntm/new-tech-minerals-corp-until-2022-08-30)
Ameriwest Lithium Inc.,AWLI,Mining,,CSE Composite,CAD,2020-07-24 04:00:00,https://thecse.com/en/listings/mining/ameriwest-lithium-inc
AmmPower Corp,AMMP,Technology,,CSE Composite,CAD,2020-10-06 04:00:00,https://thecse.com/en/listings/technology/ammpower-corp
AMPD Ventures Inc.,AMPD,Technology,,,CAD,2019-10-24 04:00:00,https://thecse.com/en/listings/technology/ampd-ventures-inc
Anonymous Intelligence Company Inc. (formerly was CNI/Cloud Nine Web3 Technologies Inc. until 2023-05-17),ANON,Technology,,CSE Composite,CAD,2016-12-01 05:00:00,https://thecse.com/en/listings/technology/anonymous-intelligence-company-inc-(formerly-was-cni/cloud-nine-web3-technologies-inc-until-2023-05-17)
ApartmentLove Inc.,APLV,Technology,,CSE Composite,CAD,2021-08-30 04:00:00,https://thecse.com/en/listings/technology/apartmentlove-inc
Appia Rare Earths & Uranium Corp,API,Mining,,CSE Composite,CAD,2015-09-14 04:00:00,https://thecse.com/en/listings/mining/appia-rare-earths-&-uranium-corp
Aquarius Surgical Technologies Inc.,ASTI,Technology,,,CAD,2017-06-21 04:00:00,https://thecse.com/en/listings/technology/aquarius-surgical-technologies-inc
Archer Exploration Corp.,RCHR,Mining,,CSE Composite,CAD,2022-11-29 05:00:00,https://thecse.com/en/listings/mining/archer-exploration-corp
Arctic Fox Lithium Corp. (formerly was AFX/Arctic Fox Ventures Inc until 2023-03-23),AFX,Mining,,CSE Composite,CAD,2021-06-04 04:00:00,https://thecse.com/en/listings/mining/arctic-fox-lithium-corp-(formerly-was-afx/arctic-fox-ventures-inc-until-2023-03-23)
Ares Strategic Mining Inc.,ARS,Mining,,CSE Composite,CAD,2021-10-22 04:00:00,https://thecse.com/en/listings/mining/ares-strategic-mining-inc
Aretto Wellness Inc (formerly was RSF/Rritual Superfoods Inc. until 2022-11-24),ARTO,Diversified Industries,,,CAD,2021-03-08 05:00:00,https://thecse.com/en/listings/diversified-industries/aretto-wellness-inc-(formerly-was-rsf/rritual-superfoods-inc-until-2022-11-24)
Aretto Wellness Inc. 05MAR2024 Warrants (formerly was RSF.WT/Rritual Superfoods Inc. 05MAR2024 Warrants until 2022-11-24),ARTO.WT,Diversified Industries,,,CAD,2021-03-08 05:00:00,https://thecse.com/en/listings/diversified-industries/aretto-wellness-inc-05mar2024-warrants-(formerly-was-rsfwt/rritual-superfoods-inc-05mar2024-warrants-until-2022-11-24)
AREV Life Sciences Global Corp,AREV,Diversified Industries,,CSE Composite,CAD,2016-08-05 04:00:00,https://thecse.com/en/listings/diversified-industries/arev-life-sciences-global-corp
Argo Gold Inc.,ARQ,Mining,,CSE Composite,CAD,2016-09-22 04:00:00,https://thecse.com/en/listings/mining/argo-gold-inc
Argo Living Soils Corp,ARGO,Diversified Industries,,,CAD,2021-08-03 04:00:00,https://thecse.com/en/listings/diversified-industries/argo-living-soils-corp
Armada Mercantile Ltd.,ARM,Diversified Industries,,CSE Composite,CAD,2015-09-24 04:00:00,https://thecse.com/en/listings/diversified-industries/armada-mercantile-ltd
Armadillo Resources Ltd.,ARO,Mining,,,CAD,2016-08-05 04:00:00,https://thecse.com/en/listings/mining/armadillo-resources-ltd
Arway Corporation,ARWY,Technology,,CSE Composite,CAD,2022-10-26 04:00:00,https://thecse.com/en/listings/technology/arway-corporation
Asante Gold Corporation,ASE,Mining,,CSE25,CAD,2015-09-04 04:00:00,https://thecse.com/en/listings/mining/asante-gold-corporation
"Ascend Wellness Holdings, Inc.",AAWH.U,Life Sciences,,,USD,2021-05-04 04:00:00,"https://thecse.com/en/listings/life-sciences/ascend-wellness-holdings,-inc"
ASEP Medical Holdings Inc.,ASEP,Life Sciences,,CSE Composite,CAD,2021-11-22 05:00:00,https://thecse.com/en/listings/life-sciences/asep-medical-holdings-inc
Ashley Gold Corp,ASHL,Mining,,,CAD,2022-05-02 04:00:00,https://thecse.com/en/listings/mining/ashley-gold-corp
Asia Green Biotechnology Corp.,ASIA,Life Sciences,Cannabis,,CAD,2019-01-24 05:00:00,https://thecse.com/en/listings/life-sciences/asia-green-biotechnology-corp
Atco Mining Inc.,ATCM,Mining,,CSE Composite,CAD,2022-10-25 04:00:00,https://thecse.com/en/listings/mining/atco-mining-inc
ATHA Energy Corp.,SASK,Mining,,CSE25,CAD,2023-04-11 04:00:00,https://thecse.com/en/listings/mining/atha-energy-corp
Athena Gold Corporation,ATHA,Mining,,CSE Composite,CAD,2021-10-18 04:00:00,https://thecse.com/en/listings/mining/athena-gold-corporation
Atlas Global Brands Inc.,ATL,Diversified Industries,Cannabis,CSE Composite,CAD,2023-01-13 05:00:00,https://thecse.com/en/listings/diversified-industries/atlas-global-brands-inc
Atmofizer Technologies Inc.,ATMO,Technology,,,CAD,2021-11-18 05:00:00,https://thecse.com/en/listings/technology/atmofizer-technologies-inc
Aurwest Resources Corporation,AWR,Mining,,,CAD,2015-09-09 04:00:00,https://thecse.com/en/listings/mining/aurwest-resources-corporation
Australis Capital Inc.,AUSA,Diversified Industries,US Cannabis,,CAD,2018-09-19 04:00:00,https://thecse.com/en/listings/diversified-industries/australis-capital-inc
Auxico Resources Canada Inc.,AUAG,Mining,,CSE Composite,CAD,2017-10-17 04:00:00,https://thecse.com/en/listings/mining/auxico-resources-canada-inc
Avanti Gold Corp. (formerly was VALU/Valorem Resources Inc. until 2023-04-20),AGC,Mining,,CSE Composite,CAD,2015-09-03 04:00:00,https://thecse.com/en/listings/mining/avanti-gold-corp-(formerly-was-valu/valorem-resources-inc-until-2023-04-20)
Avarone Metals Inc.,AVM.X,Mining,,,CAD,2016-02-01 05:00:00,https://thecse.com/en/listings/mining/avarone-metals-inc
Avila Energy Corporation,VIK,Oil and Gas,,CSE Composite,CAD,2022-06-30 04:00:00,https://thecse.com/en/listings/oil-and-gas/avila-energy-corporation
Avisa Diagnostics Inc.,AVBT,Life Sciences,,,CAD,2021-05-18 04:00:00,https://thecse.com/en/listings/life-sciences/avisa-diagnostics-inc
Axcap Ventures Inc.,AXCP,Diversified Industries,,,CAD,2018-03-14 04:00:00,https://thecse.com/en/listings/diversified-industries/axcap-ventures-inc
Axiom Capital Advisors Inc.,ACA,Diversified Industries,,,CAD,2020-08-13 04:00:00,https://thecse.com/en/listings/diversified-industries/axiom-capital-advisors-inc
Ayr Wellness Inc. 10DEC2024 Notes,AYR.NT.U,Life Sciences,US Cannabis,,USD,2021-04-21 04:00:00,https://thecse.com/en/listings/life-sciences/ayr-wellness-inc-10dec2024-notes
"Ayr Wellness Inc. S.V., RVS, L.V.",AYR.A,Life Sciences,US Cannabis,CSE Composite,CAD,2019-08-19 04:00:00,"https://thecse.com/en/listings/life-sciences/ayr-wellness-inc-sv,-rvs,-lv"
Ayurcann Holdings Corp,AYUR,Life Sciences,Cannabis,CSE Composite,CAD,2021-04-08 04:00:00,https://thecse.com/en/listings/life-sciences/ayurcann-holdings-corp
B.E.S.T. Venture Opportunities Fund Inc. Class A Series I,BVOF.A,Diversified Industries,,,CAD,2022-11-25 05:00:00,https://thecse.com/en/listings/diversified-industries/best-venture-opportunities-fund-inc-class-a-series-i
B.E.S.T. Venture Opportunities Fund Inc. Class A Series II,BVOF.B,Diversified Industries,,,CAD,2022-11-25 05:00:00,https://thecse.com/en/listings/diversified-industries/best-venture-opportunities-fund-inc-class-a-series-ii
BacTech Environmental Corporation,BAC,CleanTech,,CSE Composite,CAD,2015-09-04 04:00:00,https://thecse.com/en/listings/cleantech/bactech-environmental-corporation
Basin Uranium Corp,NCLR,Mining,,,CAD,2021-04-09 04:00:00,https://thecse.com/en/listings/mining/basin-uranium-corp
Battery X Metals Inc. (formerly was ST/Straightup Resources Inc. until 2023-07-05),BATX,Mining,,,CAD,2020-03-12 04:00:00,https://thecse.com/en/listings/mining/battery-x-metals-inc-(formerly-was-st/straightup-resources-inc-until-2023-07-05)
BC Craft Supply Co. Ltd.,CRFT,Life Sciences,Cannabis,,CAD,2019-06-03 04:00:00,https://thecse.com/en/listings/life-sciences/bc-craft-supply-co-ltd
Bee Vectoring Technologies International Inc.,BEE,Technology,,CSE Composite,CAD,2020-08-21 04:00:00,https://thecse.com/en/listings/technology/bee-vectoring-technologies-international-inc
Belgravia Hartford Capital Inc.,BLGV,Diversified Industries,,,CAD,2017-11-23 05:00:00,https://thecse.com/en/listings/diversified-industries/belgravia-hartford-capital-inc
BellRock Brands Inc.,BRCK.U,Life Sciences,US Cannabis,,USD,2020-11-09 05:00:00,https://thecse.com/en/listings/life-sciences/bellrock-brands-inc
Benjamin Hill Mining Corp,BNN,Mining,,CSE Composite,CAD,2018-07-20 04:00:00,https://thecse.com/en/listings/mining/benjamin-hill-mining-corp
Berkley Renewables Inc.,BKS,Diversified Industries,,,CAD,2015-09-03 04:00:00,https://thecse.com/en/listings/diversified-industries/berkley-renewables-inc
